2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
"  Paving, surfacing, and tamping equipment operators",44.5,46.3,1.7,3.9,"48,980",High school diploma or equivalent
  Pile driver operators,3.1,3.3,0.1,4.6,"63,550",High school diploma or equivalent
  Operating engineers and other construction equipment operators,468.0,487.6,19.6,4.2,"56,160",High school diploma or equivalent
  Drywall and ceiling tile installers,116.6,120.4,3.8,3.3,"55,700",No formal educational credential
  Tapers,20.0,19.8,-0.1,-0.7,"63,350",No formal educational credential
  Electricians,779.8,864.1,84.3,10.8,"61,590",High school diploma or equivalent
  Glaziers,56.5,58.6,2.1,3.8,"51,100",High school diploma or equivalent
"  Insulation workers, floor, ceiling, and wall",39.1,40.2,1.0,2.7,"47,540",No formal educational credential
"  Insulation workers, mechanical",23.4,24.6,1.2,5.1,"53,920",High school diploma or equivalent
"  Painters, construction and maintenance",338.9,352.4,13.6,4.0,"47,700",No formal educational credential
  Paperhangers,2.9,3.1,0.2,5.7,"48,460",No formal educational credential
  Pipelayers,37.3,36.4,-0.9,-2.3,"47,330",No formal educational credential
"  Plumbers, pipefitters, and steamfitters",473.4,499.7,26.3,5.6,"61,550",High school diploma or equivalent
  Plasterers and stucco masons,24.1,24.9,0.8,3.3,"52,640",No formal educational credential
  Reinforcing iron and rebar workers,21.9,22.9,0.9,4.2,"54,850",High school diploma or equivalent
  Roofers,168.1,177.9,9.8,5.8,"50,030",No formal educational credential
  Sheet metal workers,124.2,127.1,2.9,2.3,"58,780",High school diploma or equivalent
  Structural iron and steel workers,66.1,68.9,2.7,4.1,"62,760",High school diploma or equivalent
  Solar photovoltaic installers,25.0,37.0,12.0,48.0,"48,800",High school diploma or equivalent
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",17.1,15.6,-1.6,-9.1,"42,470",No formal educational credential
  Helpers--carpenters,22.3,21.6,-0.7,-3.0,"39,380",No formal educational credential
  Helpers--electricians,71.5,72.2,0.7,1.0,"38,340",High school diploma or equivalent
"  Helpers--painters, paperhangers, plasterers, and stucco masons",7.8,8.0,0.1,1.9,"37,010",No formal educational credential
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47.1,49.8,2.8,5.9,"37,650",High school diploma or equivalent
  Helpers--roofers,4.8,5.0,0.3,5.6,"38,620",No formal educational credential
"  Helpers, construction trades, all other[2]",28.0,30.4,2.3,8.3,"40,220",No formal educational credential
  Construction and building inspectors,142.6,142.7,0.0,0.0,"67,700",High school diploma or equivalent
  Elevator and escalator installers and repairers,24.4,25.8,1.4,5.7,"102,420",High school diploma or equivalent
  Fence erectors,24.3,25.5,1.2,4.8,"44,410",No formal educational credential
  Hazardous materials removal workers,50.3,50.9,0.5,1.0,"47,280",High school diploma or equivalent
  Highway maintenance workers,160.4,166.5,6.1,3.8,"47,360",High school diploma or equivalent
  Rail-track laying and maintenance equipment operators,17.7,18.1,0.4,2.5,"67,000",High school diploma or equivalent
  Septic tank servicers and sewer pipe cleaners,30.1,32.6,2.4,8.1,"46,910",High school diploma or equivalent
  Miscellaneous construction and related workers[2],31.6,32.9,1.3,4.0,"47,090",High school diploma or equivalent
"  Derrick operators, oil and gas",12.1,12.5,0.4,3.1,"58,210",No formal educational credential
"  Rotary drill operators, oil and gas",12.8,13.1,0.3,2.2,"61,770",No formal educational credential
"  Service unit operators, oil and gas",48.7,49.7,1.0,2.1,"55,750",No formal educational credential
"  Excavating and loading machine and dragline operators, surface mining",34.4,34.1,-0.3,-0.8,"50,050",High school diploma or equivalent
"  Earth drillers, except oil and gas",18.9,19.7,0.8,4.0,"56,660",High school diploma or equivalent
"  Explosives workers, ordnance handling experts, and blasters",4.8,4.8,0.1,1.2,"61,590",High school diploma or equivalent
  Continuous mining machine operators,16.1,15.8,-0.3,-1.8,"61,420",No formal educational credential
"  Roof bolters, mining",2.0,1.4,-0.6,-32.0,"66,660",High school diploma or equivalent
"  Loading and moving machine operators, underground mining",5.3,4.1,-1.2,-22.9,"64,070",No formal educational credential
"  Underground mining machine operators, all other[2]",2.6,2.5,-0.1,-4.5,"68,910",No formal educational credential
"  Rock splitters, quarry",3.7,3.8,0.1,2.8,"46,530",No formal educational credential
"  Roustabouts, oil and gas",46.0,48.6,2.5,5.5,"46,340",No formal educational credential
  Helpers--extraction workers,7.7,7.8,0.1,1.8,"45,520",High school diploma or equivalent
"  Extraction workers, all other[2]",7.4,7.4,0.0,-0.5,"49,580",High school diploma or equivalent
"  First-line supervisors of mechanics, installers, and repairers",604.3,626.2,21.9,3.6,"75,820",High school diploma or equivalent
"  Computer, automated teller, and office machine repairers",85.7,84.0,-1.7,-2.0,"45,760","Some college, no degree"
"  Radio, cellular, and tower equipment installers and repairers",12.0,12.9,0.8,6.8,"61,310",Associate's degree
"  Telecommunications equipment installers and repairers, except line installers",162.3,156.8,-5.5,-3.4,"61,270",Postsecondary nondegree award
  Avionics technicians,21.9,23.5,1.7,7.6,"77,420",Postsecondary nondegree award
"  Electric motor, power tool, and related repairers",17.7,18.6,0.9,5.0,"49,230",High school diploma or equivalent
"  Electrical and electronics installers and repairers, transportation equipment",7.6,8.2,0.5,6.9,"79,160",Postsecondary nondegree award
"  Electrical and electronics repairers, commercial and industrial equipment",59.8,60.5,0.7,1.2,"66,680",Postsecondary nondegree award
"  Electrical and electronics repairers, powerhouse, substation, and relay",25.4,25.7,0.2,0.8,"96,600",Postsecondary nondegree award
"  Electronic equipment installers and repairers, motor vehicles",9.1,7.9,-1.2,-13.2,"45,570",High school diploma or equivalent
  Audiovisual equipment installers and repairers,27.8,28.3,0.5,1.9,"48,380",Postsecondary nondegree award
  Security and fire alarm systems installers,86.0,93.4,7.4,8.6,"56,430",High school diploma or equivalent
  Aircraft mechanics and service technicians,141.4,148.7,7.3,5.2,"75,020",Postsecondary nondegree award
  Automotive body and related repairers,169.2,171.4,2.1,1.3,"48,740",High school diploma or equivalent
  Automotive glass installers and repairers,21.7,22.1,0.4,2.0,"45,320",High school diploma or equivalent
  Automotive service technicians and mechanics,794.6,815.9,21.2,2.7,"47,770",Postsecondary nondegree award
  Bus and truck mechanics and diesel engine specialists,300.2,308.7,8.5,2.8,"58,970",High school diploma or equivalent
  Farm equipment mechanics and service technicians,48.0,53.5,5.5,11.4,"49,210",High school diploma or equivalent
"  Mobile heavy equipment mechanics, except engines",191.1,207.3,16.2,8.5,"61,900",High school diploma or equivalent
  Rail car repairers,20.2,21.1,0.9,4.4,"65,030",High school diploma or equivalent
  Motorboat mechanics and service technicians,26.1,27.8,1.8,6.7,"49,990",High school diploma or equivalent
  Motorcycle mechanics,16.0,16.4,0.4,2.5,"46,270",Postsecondary nondegree award
  Outdoor power equipment and other small engine mechanics,40.0,41.2,1.2,2.9,"44,140",High school diploma or equivalent
  Bicycle repairers,14.5,15.3,0.8,5.6,"38,320",High school diploma or equivalent
  Recreational vehicle service technicians,18.4,20.2,1.8,9.9,"47,950",High school diploma or equivalent
