AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,"Geography Teachers, Postsecondary",*,"140,370"
California,"Political Science Teachers, Postsecondary",*,"109,500"
California,"Psychology Teachers, Postsecondary",*,"99,730"
California,"Sociology Teachers, Postsecondary",*,"126,280"
California,"Social Sciences Teachers, Postsecondary, All Other",*,"96,940"
California,"Health Specialties Teachers, Postsecondary",*,"108,160"
California,"Nursing Instructors and Teachers, Postsecondary",*,"94,240"
California,"Education Teachers, Postsecondary",*,"84,090"
California,"Library Science Teachers, Postsecondary",*,"123,200"
California,"Criminal Justice and Law Enforcement Teachers, Postsecondary",*,"132,760"
California,"Law Teachers, Postsecondary",*,"119,150"
California,"Social Work Teachers, Postsecondary",*,"130,610"
California,"Art, Drama, and Music Teachers, Postsecondary",*,"107,680"
California,"Communications Teachers, Postsecondary",*,"134,920"
California,"English Language and Literature Teachers, Postsecondary",*,"111,200"
California,"Foreign Language and Literature Teachers, Postsecondary",*,"104,770"
California,"History Teachers, Postsecondary",*,"97,390"
California,"Philosophy and Religion Teachers, Postsecondary",*,"96,260"
California,"Family and Consumer Sciences Teachers, Postsecondary",*,"159,450"
California,"Recreation and Fitness Studies Teachers, Postsecondary",*,"112,230"
California,"Career/Technical Education Teachers, Postsecondary",36.17,"75,240"
California,"Preschool Teachers, Except Special Education",21.50,"44,730"
California,"Kindergarten Teachers, Except Special Education",*,"94,580"
California,"Elementary School Teachers, Except Special Education",*,"96,700"
California,"Middle School Teachers, Except Special and Career/Technical Education",*,"99,430"
California,"Career/Technical Education Teachers, Middle School",*,"62,120"
California,"Secondary School Teachers, Except Special and Career/Technical Education",*,"101,540"
California,"Career/Technical Education Teachers, Secondary School",*,"98,860"
California,"Special Education Teachers, Preschool",*,"81,530"
California,"Special Education Teachers, Kindergarten and Elementary School",*,"89,270"
California,"Special Education Teachers, Middle School",*,"95,380"
California,"Special Education Teachers, Secondary School",*,"101,920"
California,"Special Education Teachers, All Other",*,"90,700"
California,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",43.51,"90,510"
California,Self-Enrichment Teachers,22.96,"47,760"
California,"Substitute Teachers, Short-Term",26.09,"54,270"
California,Tutors,19.46,"40,490"
California,"Teachers and Instructors, All Other",*,"79,620"
California,Archivists,29.70,"61,770"
California,Curators,37.13,"77,230"
California,Museum Technicians and Conservators,29.25,"60,830"
California,Librarians and Media Collections Specialists,40.77,"84,800"
California,Library Technicians,23.90,"49,720"
California,Farm and Home Management Educators,47.71,"99,240"
California,Instructional Coordinators,46.06,"95,810"
California,"Teaching Assistants, Postsecondary",*,"39,560"
California,"Teaching Assistants, Except Postsecondary",*,"45,080"
California,"Educational Instruction and Library Workers, All Other",29.29,"60,910"
California,"Arts, Design, Entertainment, Sports, and Media Occupations",36.55,"76,020"
California,Art Directors,62.80,"130,610"
California,Craft Artists,33.03,"68,700"
California,"Fine Artists, Including Painters, Sculptors, and Illustrators",64.98,"135,160"
California,Special Effects Artists and Animators,62.72,"130,460"
California,"Artists and Related Workers, All Other",42.31,"88,000"
California,Commercial and Industrial Designers,40.48,"84,190"
California,Fashion Designers,*,*
California,Floral Designers,19.55,"40,660"
California,Graphic Designers,35.75,"74,360"
California,Interior Designers,36.68,"76,300"
California,Merchandise Displayers and Window Trimmers,18.89,"39,300"
California,Set and Exhibit Designers,39.30,"81,740"
California,"Designers, All Other",39.43,"82,010"
California,Actors,21.68,*
California,Producers and Directors,50.52,"105,080"
California,Athletes and Sports Competitors,*,*
California,Coaches and Scouts,*,"47,860"
California,"Umpires, Referees, and Other Sports Officials",*,"34,880"
California,Dancers,30.59,*
California,Choreographers,35.59,"74,030"
California,Music Directors and Composers,38.01,"79,070"
California,Musicians and Singers,37.86,*
California,"Disc Jockeys, Except Radio",18.50,*
California,"Entertainers and Performers, Sports and Related Workers, All Other",23.25,*
California,Broadcast Announcers and Radio Disc Jockeys,*,*
California,"News Analysts, Reporters, and Journalists",43.64,"90,770"
California,Public Relations Specialists,36.67,"76,280"
California,Editors,42.36,"88,100"
California,Technical Writers,48.25,"100,370"
California,Writers and Authors,45.41,"94,440"
California,Interpreters and Translators,30.77,"64,000"
California,Court Reporters and Simultaneous Captioners,50.79,"105,640"
California,"Media and Communication Workers, All Other",38.37,"79,810"
California,Audio and Video Technicians,29.34,"61,030"
California,Broadcast Technicians,48.93,"101,780"
California,Sound Engineering Technicians,29.53,"61,410"
California,Lighting Technicians,35.33,"73,480"
California,Photographers,31.13,"64,740"
California,"Camera Operators, Television, Video, and Film",32.67,"67,950"
California,Film and Video Editors,39.71,"82,600"
California,"Media and Communication Equipment Workers, All Other",32.84,"68,320"
California,Healthcare Practitioners and Technical Occupations,53.61,"111,500"
California,Chiropractors,*,*
California,"Dentists, General",80.29,"167,010"
California,Oral and Maxillofacial Surgeons,98.74,"205,390"
California,Orthodontists,#,#
California,"Dentists, All Other Specialists",105.67,"219,790"
California,Dietitians and Nutritionists,40.72,"84,690"
California,Optometrists,64.43,"134,020"
California,Pharmacists,77.38,"160,950"
California,Physician Assistants,75.71,"157,490"
California,Podiatrists,89.44,"186,040"
California,Occupational Therapists,54.04,"112,390"
California,Physical Therapists,55.55,"115,550"
California,Radiation Therapists,75.15,"156,310"
California,Recreational Therapists,44.75,"93,080"
California,Respiratory Therapists,48.66,"101,200"
California,Speech-Language Pathologists,52.63,"109,470"
California,Exercise Physiologists,16.73,"34,790"
California,"Therapists, All Other",36.95,"76,860"
California,Veterinarians,63.63,"132,360"
California,Registered Nurses,64.42,"133,990"
California,Nurse Anesthetists,#,#
California,Nurse Midwives,91.24,"189,770"
California,Nurse Practitioners,78.87,"164,050"
California,Audiologists,50.75,"105,560"
California,Anesthesiologists,#,#
California,Cardiologists,#,#
California,Dermatologists,108.68,"226,050"
California,Emergency Medicine Physicians,107.95,"224,540"
California,Family Medicine Physicians,110.08,"228,970"
California,General Internal Medicine Physicians,#,#
California,Neurologists,57.69,"120,000"
California,Obstetricians and Gynecologists,#,#
California,"Pediatricians, General",98.27,"204,400"
California,"Physicians, Pathologists",#,#
California,Psychiatrists,#,#
California,Radiologists,78.58,"163,440"
California,"Physicians, All Other",#,#
California,"Ophthalmologists, Except Pediatric",#,#
California,"Orthopedic Surgeons, Except Pediatric",#,#
California,Pediatric Surgeons,#,#
California,"Surgeons, All Other",#,#
California,Acupuncturists,37.21,"77,390"
California,Dental Hygienists,58.00,"120,640"
California,"Healthcare Diagnosing or Treating Practitioners, All Other",53.01,"110,260"
California,Clinical Laboratory Technologists and Technicians,32.03,"66,610"
